glyph,region,category,bbox,info
tA,0,base,(73,-15,848,525),largest
tA,1,base,(221,216,705,277),
tAa,0,base,(73,-15,828,525),largest
tI,0,base,(112,-61,686,525),largest
tI,1,base,(60,309,384,525),
tIi,0,base,(149,-15,683,525),largest
tIi,1,base,(50,96,985,313),
tIi,2,above,(403,498,719,734),
tIi,3,above,(773,286,977,491),
tIi,4,above,(265,505,434,659),
tU,0,base,(103,-15,628,525),largest
tU,1,base,(423,-15,775,323),
tU,2,base,(55,351,819,394),
tU,3,above,(399,508,475,695),
tUu,0,base,(103,-15,626,525),largest
tUu,1,base,(55,177,1052,394),
tUu,2,base,(423,-15,772,323),
tUu,3,above,(848,368,1042,568),
tUu,4,above,(474,499,548,695),
tUu,5,above,(326,500,400,695),
tVocalicR,0,base,(710,-15,1084,525),largest
tVocalicR,1,base,(1054,-15,1420,525),
tVocalicR,2,base,(73,-15,427,525),
tVocalicR,3,base,(396,-15,738,525),
tVocalicL,0,base,(262,-250,892,525),largest
tVocalicL,1,base,(60,294,385,525),
tE,0,base,(262,-15,717,796),largest
tE,1,base,(60,-15,348,283),
tEe,0,base,(262,-15,717,796),largest
tEe,1,base,(60,-15,348,283),
tEe,2,base,(148,645,303,926),
tAi,0,base,(73,-15,734,525),largest
tAi,1,base,(75,313,410,525),
tO,0,base,(73,-15,423,525),largest
tO,1,base,(391,-15,732,299),
tOo,0,base,(73,-15,423,525),largest
tOo,1,base,(391,-15,732,299),
tOo,2,above,(190,506,301,719),
tAu,0,base,(73,-15,422,522),largest
tAu,1,above,(52,458,812,693),
tAu,2,base,(391,-15,732,299),
tAu,3,above,(61,482,467,647),
tVocalicRr,0,base,(700,-15,1084,525),largest
tVocalicRr,1,base,(73,-15,425,525),
tVocalicRr,2,base,(391,-15,737,525),
tVocalicRr,3,base,(1044,-15,1420,478),
tVocalicRr,4,base,(1136,287,1723,520),
tVocalicLl,0,base,(262,-250,892,525),largest
tVocalicLl,1,base,(734,290,1242,525),
tVocalicLl,2,base,(60,294,373,525),
tKa,0,base,(70,-15,482,525),largest
tKa,1,above,(272,502,579,734),
tKa,2,above,(125,506,294,659),
tKaa,0,base,(70,-15,482,525),largest
tKaa,1,base,(52,290,782,525),
tKi,0,base,(70,-15,482,525),largest
tKi,1,above,(96,489,471,794),
tKii,0,base,(70,-15,482,525),largest
tKii,1,above,(96,489,471,792),
tKii,2,above,(191,763,398,966),
tKu,0,base,(70,-15,941,525),largest
tKu,1,above,(264,506,579,734),
tKu,2,above,(125,499,288,659),
tKuu,0,base,(70,-15,938,525),largest
tKuu,1,base,(654,287,1271,520),
tKuu,2,above,(253,491,579,734),
tKuu,3,above,(125,497,292,659),
tKe,0,base,(131,-15,543,525),largest
tKe,1,above,(18,481,563,693),
tKee,0,base,(131,-15,543,525),largest
tKee,1,above,(18,481,563,693),
tKee,2,above,(353,656,559,881),
tKai,0,base,(131,-15,543,525),largest
tKai,1,below,(-24,-323,631,-88),
tKai,2,above,(18,481,563,693),
tKo,0,base,(70,-15,482,525),largest
tKo,1,above,(329,490,695,729),
tKo,2,above,(58,483,359,729),
tKoo,0,base,(70,-15,482,525),largest
tKoo,1,above,(331,490,695,729),
tKoo,2,above,(58,486,367,729),
tKoo,3,above,(486,709,692,904),
tKau,0,base,(70,-15,482,525),largest
tKau,1,above,(70,458,830,693),
tKau,2,above,(77,482,493,652),
tK,0,base,(70,-15,482,525),largest
tK,1,above,(56,619,525,818),
tK,2,above,(72,482,393,662),
tKha,0,base,(73,-15,761,525),largest
tKha,1,below,(355,-153,445,19),
tKhaa,0,base,(73,-15,758,525),largest
tKhaa,1,base,(489,287,1091,520),
